sector,language,question,answer
passport,om,Ala irraa iyyachuun ni danda’amaa?,"Eeyyee; embassy ykn consulate keessaatiin iyyachuu ni dandeessa. (DEMO)"
passport,om,Ala irraa iyyachuun yeroo hangamii fudhata?,"Yeroo baay’ee tajaajila biyya keessaa caalaa dheeraa fudhachuu danda’a. (DEMO)"
passport,om,Kaffaltiin paaspoortii akkamitti kaffalama?,"Baankii keessatti galii (deposit) gochuu ykn karaa kaffaltii mootummaa eeyyamameen. (DEMO)"
passport,om,Kaffaltiin paaspoortii ni deebi’a?,"Yeroo baay’ee kaffaltiin hin deebi’u. (DEMO)"
passport,om,Sanada imala yeroo gabaabaa (temporary travel document) jechuun maalidha?,"Paaspoortiin yeroo hin jirre (bade/miidhame) imala ariifachiisaa irratti tajaajiluuf kan kennamu dha. (DEMO)"
passport,om,Eenyutu sanada imala yeroo gabaabaa argata?,"Namni imala ariifachiisaa qabu ragaa waliin iyyateen ni argata. (DEMO)"
passport,om,Teessoo (address) paaspoortii irratti haaromsuun barbaachisaa?,"Yeroo baay’ee teessoo jijjiiruun paaspoortii haaraa hin barbaachisu; garuu qajeelfama irraa mirkaneessi. (DEMO)"
passport,om,Paaspoortii iyyachuuf beellama (appointment) qabachuun barbaachisaa?,"Waajjira irratti baay’ina tajaajilamtootaa irratti hundaa’uun beellamni barbaachisaa ta’uu danda’a. (DEMO)"
passport,om,Beellama paaspoortii akkamitti qabata?,"Karaa onlaayinii ykn waajjira irratti sirnaan beellama qabachuun ni danda’ama. (DEMO)"
passport,om,Guyyaa beellamaa maal fida?,"Sanadoota aslii, kooppii, suuraa, fi ragaa kaffaltii fidi. (DEMO)"
passport,om,Namni biraa paaspoortii koo fudhachuu ni danda’a?,"Haala muraasa keessatti waraqaa eeyyamaa/authorization waliin ni danda’ama. (DEMO)"
passport,om,Paaspoortiin koo yeroo qophaa’e akkamitti beeka?,"Ergaa SMS/imeeyilii ykn lakkoofsa referenceiin haala isaa ilaaluun ni danda’ama. (DEMO)"
passport,om,Beellama koo yoo dabarse maal ta’a?,"Deebitee beellama haaraa qabachuun ykn yeroo biroo irratti qindeessuun si barbaachisa. (DEMO)"
passport,om,Haati ulfaa tajaajila dursa (priority) ni argatti?,"Haala fayyaa irratti hundaa’uun tajaajila dursa kennamuu danda’a. (DEMO)"
passport,om,Namoota qaama miidhamtootaaf gargaarsi addaa jiraa?,"Eeyyee; deeggarsa fi tajaajila dursa ni kennamuu danda’a. (DEMO)"
passport,om,Tajaajilli paaspoortii afaan maaliin kennama?,"Afaanota mootummaa/naannoo beekamoo keessatti tajaajilli kennamuu danda’a. (DEMO)"
passport,om,Refugee/saddeetummaa qabus paaspoortii biyyaatiif iyyachuu ni danda’a?,"Haala seeraa addaa qabaachuu danda’a; qaama dhimmi ilaallatu irraa odeeffannoo argadhu. (DEMO)"
passport,om,Paaspoortiin diplomatic jechuun maalidha?,"Tajaajila mootummaa/diiploomaasii irratti imalan mootummaaaf kan kennamu paaspoortii addaa dha. (DEMO)"
passport,om,Paaspoortiin service (tajaajila) jechuun maalidha?,"Hojii mootummaa addaa keessatti biyya alaa deemaniif kan kennamu paaspoortii dha. (DEMO)"
passport,om,Eenyutu paaspoortii diplomatic argata?,"Hoggantoota mootummaa fi diiploomaatoonni ulaagaa guutan ni argatu. (DEMO)"
passport,om,Namni mootummaa hin taane diplomatic iyyachuu ni danda’a?,"Hin danda’u; ulaagaan isaa seeraan daangeffameera. (DEMO)"
passport,om,Paaspoortii irratti fuula duwwaa meeqa qabaachuun gaarii dha?,"Visa fi chaappaaaf (stamp) fuula duwwaa yoo xiqqaate lama qabaachuun ni gorfama. (DEMO)"
passport,om,Paaspoortii irratti fuula dabalataa dabaluun ni danda’amaa?,"Yeroo baay’ee hin dabalamuu; fuula xumurame yoo ta’e haaromsa barbaachisa. (DEMO)"
passport,om,Haaromsaan booda paaspoortii duraanii maal ta’a?,"Yeroo baay’ee ‘cancelled’ jechuun mallatteeffamee siif deebi’uu danda’a. (DEMO)"
passport,om,Haaromsaan booda paaspoortii duraanii of harkaa qabaachuun ni danda’amaa?,"Eeyyee; garuu imaluuf hin fayyadu (akka seeraan hojii keessaa bahe). (DEMO)"
passport,om,Lakkoofsi reference iyyataa maal tajaajila?,"Iyyata kee hordofuuf lakkoofsa addaa siif kennamu dha. (DEMO)"
passport,om,Odeeffannoon fingerprint akka nageenyaan tursiifamaa?,"Eeyyee; seera nageenya odeeffannoo jabeessaatiin tursiifama jedhamee fudhatama. (DEMO)"
passport,om,Paaspoortiin haala seeraan haqamuu ni danda’a?,"Eeyyee; sababoota seeraa muraasa keessatti paaspoortiin haqamuu danda’a. (DEMO)"
passport,om,Seerotni paaspoortii kennuuf fayyadan maalii?,"Tajaajilli paaspoortii seerota imigireeshinii fi lammummaa biyyattii jalatti hogganama. (DEMO)"
passport,om,Odeeffannoo paaspoortii mootummaa sirrii eessaa argadha?,"Marsariitii mootummaa/waajjira imigireeshinii irraa ykn waajjira tajaajilaa irratti. (DEMO)"
passport,om,Komiin paaspoortii eessaaf dhiyeeffama?,"Kutaa tajaajila maamila ykn bakka komii fudhatuutti dhiyeessi. (DEMO)"
passport,om,ID koo yeroon isaa darbe yoo ta’e iyyachuu danda’a?,"ID hojiirra jiru/valid ta’e barbaachisa; yoo hin jirre dura haaromsuu si barbaachisa. (DEMO)"
passport,om,Paaspoortii iyyachuun interviewer (gaaffii) qaba?,"Namoota muraasaaf yeroo mirkaneessa dabalataa barbaachisu gaafii/warraaqsi ni ta’uu danda’a. (DEMO)"
passport,om,Paaspoortii kennuun dura mirkaneessi akkamiin gaggeeffama?,"Eenummaa mirkaneessu, sakatta’iinsa seeraa/nageenyaa, fi qulqullina sanadootaa ilaaluu ni dabalata. (DEMO)"
passport,om,Haala heeruma (marital status) paaspoortii irratti haaromsuun ni danda’amaa?,"Eeyyee; ragaa heeruma/furriqa (divorce) ykn sanada seeraa waliin ni danda’ama. (DEMO)"
passport,om,Ala irratti paaspoortiin yoo na saame/hatame maal godha?,"Poolisii biyya sanaatti gabaasi, booda embassy/consulate qunnami. (DEMO)"
passport,om,Adabbii seeraa (fines/case) yoo qabaadhe paaspoortii iyyachuu ni danda’a?,"Dhimmootni seeraa muraasni ulaagaa irratti dhiibbaa qabaachuu danda’u; waajjira irraa mirkaneessi. (DEMO)"
passport,om,Imaaluun dura hangam dursee iyyachuun gaarii?,"Iyyanni dheerachuu danda’a; kanaaf ji’oota hedduu dursee iyyachuun ni gorfama. (DEMO)"
passport,om,Paaspoortii iyyachuuf tarkaanfiin jalqabaa maal?,"Fooramii guutuu fi sanadoota barbaachisan qopheessuu dha. (DEMO)"
passport,om,Fooramiin iyyataa eessaa argama?,"Waajjira tajaajilaa irraa ykn karaa onlaayinii (yoo jirate) irraa argamuu danda’a. (DEMO)"
passport,om,Fooramii irratti dogoggora yoo godhe maal ta’a?,"Sirreessuuf ni qajeelchu; yeroo muraasa keessatti fooramii haaromsee guutuu si barbaachisuu danda’a. (DEMO)"
passport,om,Fooramii irratti bilbila fi imeeyiliin maaliif barbaadama?,"Beeksisa (notification), mirkaneessa, fi haala iyyataa sitti himuuf tajaajila. (DEMO)"
passport,om,Paaspoortii fudhachuuf eenyummaa mirkaneessuun barbaachisaa?,"Eeyyee; yeroo fudhattu ID/receipt ykn reference number ni gaafatu. (DEMO)"
passport,om,Paaspoortii poostaan naaf erguun ni danda’amaa?,"Policy waajjiraa irratti hundaa’a; filannoowwan ergaa/collection mirkaneessi. (DEMO)"
passport,om,Suuraa baayomeetirii waajjira keessatti kaafama moo studio irraa?,"Yeroo baay’ee suuraan studio irraa ni dhiyaata; garuu seera suuraa waajjiraa guutuu qaba. (DEMO)"
passport,om,Suuraa paaspoortii irratti gilaasii ijaa uffachuun ni eeyyamama?,"Qajeelfama irratti hundaa’a; ija ifatti akka mul’atu mirkaneessi. (DEMO)"
passport,om,Uffata amantii (head covering) suura keessatti ni eeyyamama?,"Eeyyamamuu danda’a; garuu fuulli guutuun ifatti mul’achuu fi mirkaneessa hin gufachiifne ta’uu qaba. (DEMO)"
passport,om,Lakkoofsi paaspoortii maal tajaajila?,"Visa iyyachuu, tikkeeta imalaa, fi mirkaneessa eenyummaa keessatti barbaachisaa dha. (DEMO)"
passport,om,Paaspoortii argadhee booda maal sakatta’uu qaba?,"Maqaa, guyyaa dhalootaa, saala, lakkoofsa paaspoortii, fi guyyaa dhumtii sirrii ta’uu mirkaneessi. (DEMO)"
passport,om,Paaspoortii booda dogoggora arge yoo ta’e maal godha?,"Yeroo gabaabaa keessatti waajjira qunnami; sirreeffama/correction iyyadhu. (DEMO)"
passport,om,Guyyaan dhumtii (expiry) paaspoortii eessa irratti barreeffama?,"Fuula eenyummaa (ID page) irratti ifatti ni barreeffama. (DEMO)"
passport,om,Visa iyyachuuf paaspoortiin ulaagaa maalii qabaachuu qaba?,"Biyya irratti hundaa’a; yeroo hojii gahaa fi fuula duwwaa gahaa qabaachuun ni barbaachisa. (DEMO)"
passport,om,Haaromsuuf paaspoortii duraanii dhiyeessuun dirqamaa?,"Eeyyee; yeroo baay’ee paaspoortii duraanii dhiyeessuun barbaachisa. (DEMO)"
passport,om,Paaspoortii duraanii yoo hin qabne haaromsuun ni danda’amaa?,"Haala irratti hundaa’uun gabaasa poolisii fi mirkaneessa dabalataa waliin bakka bu’iinsa iyyachuun ni danda’ama. (DEMO)"
passport,om,Sanadoota dabalataa gaafatamuu ni danda’a?,"Eeyyee; haala iyyataa irratti hundaa’uun mirkaneessa dabalataa ni gaafatama. (DEMO)"
passport,om,Sa’aatii fi guyyaa tajaajilaa eessaa beeka?,"Beeksisa mootummaa/waajjira irraa ykn bilbila waajjiraa irratti gaafattee ni argatta. (DEMO)"
passport,om,Iyyata paaspoortii irratti daangaan umurii jiraa?,"Daangaan guddaan hin jiru; garuu daa’imaaf qajeelfamni addaa ni jira. (DEMO)"
passport,om,Daa’imni ofumaan beellama deemuu ni danda’a?,"Yeroo baay’ee hin danda’u; abbaa/haadha ykn abbaa guddisaa waliin deemuu qaba. (DEMO)"
passport,om,Bakka bu’iinsi paaspoortii (replacement) lakkoofsa haaraa qabaataa?,"Eeyyee; paaspoortiin bakka bu’iinsa ta’e yeroo baay’ee lakkoofsa addaa haaraa qaba. (DEMO)"
passport,om,Paaspoortii bade booda deebisee argadhe maal godha?,"Waajjira/poolisii beeksisi; qajeelfama isaanii hordofi. (DEMO)"
passport,om,Iyyata sobaa/fakkeessuun paaspoortii argachuun ni danda’amaa?,"Seeraan dhoorkamaa dha; adabbii fi dhimmi seeraa irratti si geessuu danda’a. (DEMO)"
passport,om,Koophiyaa sanadoota paaspoortii dhiyeessuun ni barbaachisaa?,"Eeyyee; koophiyaa ni gaafatu, garuu sanada aslii agarsiisuu dabalata. (DEMO)"
passport,om,Sanadoonni hiika (translation) ykn notary barbaadu?,"Afaan sanadaa fi seera waajjiraa irratti hundaa’uun hiika seeraa/notary ni gaafachuu danda’a. (DEMO)"
passport,om,Bakka tajaajilli kenname naannoo keessatti ni jijjiiramaa?,"Eeyyee; naannoo/ magaalaa irratti hundaa’uun waajjirri tajaajila ni garaagara. (DEMO)"
passport,om,Tajaajila ariifachiisaaf ragaan “urgency” maal ta’uu danda’a?,"Tikkeeta imalaa, xalayaa hospitaalaa, xalayaa barnoota hojii/affeerraa, fi kkf ta’uu danda’a. (DEMO)"
passport,om,Odeeffannoon baayomeetirii gara biyya biraatti darbama?,"Qajeelfama tursiisaa odeeffannoo mootummaa irratti hundaa’a; yeroo baay’ee tajaajila nageenya eenyummaa irratti fayyada. (DEMO)"
passport,om,Paaspoortii bakka bu’iinsa iyyachuun yeroo hangamii fudhata?,"Sababa fi sakatta’iinsa irratti hundaa’uun dheeraa fudhachuu danda’a. (DEMO)"
passport,om,Paaspoortii miidhameen airport irraa deebisamuu danda’a?,"Eeyyee; miidhaan cimaa yoo jiraate tajaajilli imalaa ni gufata; dura bakka bu’iinsa gochuu gaarii dha. (DEMO)"
passport,om,Suuraan paaspoortii fuula eenyummaa irratti ana hin fakkaatu yoo ta’e maal ta’a?,"Imala irratti rakkoo uuma; waajjira waliin sirreeffama/replace gochuu barbaachisa. (DEMO)"
passport,om,Haaromsaan booda visa duraanii maal ta’a?,"Visa duraanii paaspoortii moofa irratti turuu danda’a; yeroo imalu paaspoortii haaraa fi moofa waliin qabachuun ni barbaachisa. (DEMO)"
passport,om,Iyyata yeroo jalqabaatiif fi haaromsaaf adeemsi ni adda?,"Bu’uuraan walfakkaata; garuu haaromsa keessatti paaspoortii duraanii fi mirkaneessa dabalataa ni dabalata. (DEMO)"
passport,om,Paaspoortii iyyachuuf ragaa qabeenyaa (property) barbaachisaa?,"Yeroo baay’ee miti; bu’uuraan eenyummaa mirkaneessaa fi ragaa kaffaltii dha. (DEMO)"
passport,om,Ragaan yakkaa (criminal record) ni gaafama?,"Haala seeraa fi sakatta’iinsa irratti hundaa’uun ni gaafachuu danda’a. (DEMO)"
passport,om,Ani barataa dha; hir’ina kaffaltii (discount) jiraa?,"Yoo jiraate qajeelfama mootummaa keessatti ibsama; odeeffannoo mootummaa irraa mirkaneessi. (DEMO)"
passport,om,Receipt kaffaltii yoo na bade maal godha?,"Baankii/kanal kaffaltii irraa copy argachuu ykn waajjira qunnachuun ni danda’ama. (DEMO)"
passport,om,Kaffaltii osoo hin raawwachin iyyata galchuu ni danda’a?,"Yeroo baay’ee kaffaltiin dura barbaachisa; seera waajjiraa ilaali. (DEMO)"
passport,om,Waajjira irratti sarara dheerinaan yoo jiraate maal gorsa?,"Beellama qabachuun, yeroo gad-aanaa filachuun, fi sanadoota hunda dursee qopheessuun ni gargaara. (DEMO)"
passport,om,Iyyanni biyya keessaa fi ala irratti ulaagaan ni garaagara?,"Bu’uuraan walfakkaata; garuu adeemsi embassy keessatti dabalata qabaachuu danda’a. (DEMO)"
passport,om,Ala iyyachuun baayomeetirii eessa irratti kennama?,"Embassy/consulate keessatti bakka galmee baayomeetirii irratti ni kennama. (DEMO)"
passport,om,Ala jiraachuun paaspoortii bade bakka bu’u ni danda’a?,"Eeyyee; gabaasa poolisii fi adeemsa embassy/consulateen ni danda’ama. (DEMO)"
passport,om,Temporary travel document booda paaspoortii idilee iyyachuun barbaachisaa?,"Eeyyee; kan yeroo muraasaaf tajaajilu; paaspoortii idilee argachuuf adeemsa idilee hordofuu qabda. (DEMO)"
passport,om,Visaaf paaspoortiin yeroo dheeraa waajjira/embassy bira turuun maal miidha?,"Yeroo paaspoortiin harkaa si hin jirre imala biraa gochuun rakkisaa ta’a; hojii kee dursee qindeessi. (DEMO)"
passport,om,Priority service argachuuf ragaan akkam ta’uu qaba?,"Ragaa ariifachiisummaa (hospitaal, hojii/barnoota affeerraa, tikkeeta) dhiyeessuu dandeessa. (DEMO)"
passport,om,Maqaa jijjiirameen paaspoortii moofa itti fufuun ni danda’amaa?,"Rakkoo walsimsiisaa uuma; yeroo baay’ee sirreeffama/bakka bu’iinsa gochuu barbaachisa. (DEMO)"
passport,om,Saala (gender) paaspoortii irratti sirreessuun ni danda’amaa?,"Seera irratti hundaa’uun sanadoota mirkaneessaa waliin sirreeffachuun ni danda’ama. (DEMO)"
passport,om,Iyyata erga galchee booda odeeffannoo jijjiiruun ni danda’amaa?,"Sadarkaa adeemsaa irratti hundaa’uun ni danda’ama; waajjira saffisaan qunnami. (DEMO)"
passport,om,Guyyaa dhalootaa dogoggoraan guute yoo ta’e maal ta’a?,"Iyyanni didamuu ykn sirreeffamaaf deebiuu danda’a; ragaa sirrii dhiyeessi. (DEMO)"
passport,om,Sanada dabalataa yoo barbaadan akkamitti na beeksisu?,"SMS/imeeyil, bilbila, ykn status tracker irratti ergaa ni mul’ata. (DEMO)"
passport,om,Baayomeetirii booda iyyanni koo dhaabbachuu ni danda’a?,"Eeyyee; sanadoota hanqina, dogoggora odeeffannoo, ykn sakatta’iinsa irratti rakkoon yoo jiraate ni dhaabbata. (DEMO)"
passport,om,Adeemsa paaspoortii keessatti dallalaa (broker) fayyadamuun ni gorfama?,"Hin gorfamu; karaa mootummaa sirrii qofaan deemi, sobaa fi saaxilamuu irraa of eegi. (DEMO)"
passport,om,Yeroon dhumtii paaspoortii gabaabaa yoo ta’e visa ni gufata?,"Eeyyee; biyyoonni hedduun yeroon hojii gahaa akka hafu ni gaafatu. (DEMO)"
passport,om,Paaspoortiin yeroo hojjetamu osoo jiruu visa biraa iyyachuu ni danda’a?,"Baay’ee rakkisaa; visa iyyachuuf paaspoortiin harkaa si keessa jiraachuun yeroo baay’ee barbaachisa. (DEMO)"
passport,om,Iyyata koo erga fudhatan booda haquu/cancel gochuu ni danda’a?,"Policy irratti hundaa’a; garuu kaffaltiin deebi’uu yeroo baay’ee hin jiru. (DEMO)"
passport,om,Paaspoortiin koo maqaa nama biraatiin qophaa’e jedhanii yoo jedhan maal godha?,"Waajjira irratti qaamaan deemi; ID fi sanadoota eenyummaa sirrii dhiyeessi. (DEMO)"
passport,om,Maqaa fi teessoon waajjira paaspoortii eessa irraa argama?,"Marsariitii mootummaa, beeksisa waajjiraa, ykn bilbila tajaajila maamilaatiin argama. (DEMO)"
passport,om,Ragaan dhalootaa yoo hin jirre paaspoortii iyyachuu ni danda’a?,"Sanadoota eenyummaa mootummaa biroo (ID, ragaa mootummaa) bakka bu’uutti dhiyeessuun ni danda’ama. (DEMO)"
passport,om,Gaaffii paaspoortii irratti waajjira qunnamuuf eessa bilbila?,"Lakkoofsa tajaajila maamila waajjiraa (hotline/contact) beeksisa mootummaa irraa barbaadi. (DEMO)"
passport,om,Jechaalee irratti yeroo baay’ee dhaga’aman (reference/biometric/renewal) jechuun maal?,"Reference = lakkoofsa hordoffii; Biometric = fingerprint/suuraa; Renewal = haaromsa; Replacement = bakka bu’iinsa. (DEMO)"
passport,om,Daa’imni paaspoortii maatii keessatti waliin galmaa’aa?,"Yeroo baay’ee miti; namni hundi paaspoortii ofii qabaachuu qaba. (DEMO)"
passport,om,Daa’imaaf yeroon hojii paaspoortii ni gabaabaa?,"Qajeelfama irratti hundaa’uun ni danda’a; daa’imaaf yeroo hojii gabaabaa kennamuu danda’a. (DEMO)"
passport,om,Bakka bu’iinsa yeroo godhamu baayomeetirii irra deebi’anii ni fudhatu?,"Eeyyee; yeroo baay’ee paaspoortii haaraa waliin baayomeetirii haaraa ni galmeessu. (DEMO)"
passport,om,Paaspoortii koo akkamitti eega (protect) godha?,"Bakka nageenya qabu keessatti kaa’i, kooppii addaan tursiisi, bishaan/miidhaadhaan irraa eegi. (DEMO)"
passport,om,Koophiyaa paaspoortii bilbilaan (scan/photo) qabachuun ni gorfama?,"Bakka badii keessatti ni gargaara; garuu odeeffannoo dhuunfaa eegumsa (privacy) tiksuu yaadadhu. (DEMO)"
passport,om,Iyyanni koo akka hin turre (delay) maal gochuu qaba?,"Sanadoota hunda guuti, suuraa seera guutu dhiyeessi, odeeffannoo sirrii barreessi, beellama sirnaan kabaji. (DEMO)"
passport,om,E-passport chip keessatti odeeffannoon maal galma’a?,"Gosa e-passport yoo ta’e, odeeffannoo baayomeetirii fi eenyummaa muraasa chip keessatti qabata. (DEMO)"
passport,om,Chip e-passport yoo miidhame maal godha?,"Waajjira tajaajilaa qunnami; adeemsa sirreeffamaa ykn bakka bu’iinsa si qajeelchu. (DEMO)"
passport,om,Fuulonni paaspoortii yoo ciccitan rakkoo uuma?,"Eeyyee; visa/stamp irratti miidhaan yoo jiraate buufata daangaa irratti rakkoo uuma. (DEMO)"
passport,om,Paaspoortii irratti barreessuun ykn fooyyessuun ni eeyyamama?,"Hin eeyyamamu; paaspoortii miidhuun seeraan hin hayyamamu. (DEMO)"
passport,om,Maqaan koo Latin (ingiliffaan) akkamitti barreessama?,"Yeroo baay’ee sanadoota mootummaa irratti akka barreeffametti fudhatama; yoo garaagarummaa jiraate ragaan ni gaafama. (DEMO)"
passport,om,Paaspoortiin seera keessatti eenyummaa mirkaneessuuf ni fayyada?,"Eeyyee; paaspoortiin sanada mootummaa eenyummaa mirkaneessuuf bal’inaan fayyadu dha. (DEMO)"
passport,om,Haaromsaan booda odeeffannoon duraanii ni jijjiirama?,"Paaspoortiin haaraan lakkoofsa/daataa haaraa qabaachuu danda’a; odeeffannoon eenyummaa garuu sanadoota irratti hundaa’uun tura. (DEMO)"
passport,om,Daa’ima waliin imaluuf sanada dabalataa barbaachisaa?,"Biyyoonni muraasni xalayaa eeyyamaa warraa, ragaa walitti dhufeenya maatii, ykn guardianship ni gaafatu. (DEMO)"
passport,om,Abbaan ykn haati tokko qofa daa’ima waliin yoo deeme maal gaafatama?,"Eeyyama waaldaa/waajjira seeraa irraa kan biraa (consent) ykn murtii mana murtii ni gaafachuu danda’a. (DEMO)"
passport,om,Paaspoortiin qofti biyya kamiiyyuu seenuuf hayyama kennaa?,"Miti; paaspoortiin eenyummaa agarsiisa; seenuuf visa ykn hayyama imalaa biyya sanaa barbaachisuu danda’a. (DEMO)"
passport,om,Paaspoortii jechuun visa jechuun moo?,"Miti; paaspoortiin sanada eenyummaa; visa immoo hayyama seensaa/taa’umsa biyya biraa dha. (DEMO)"
passport,om,Status “Under Review” jechuun maal?,"Sanadoota fi odeeffannoo kee sakatta’uun/ irratti hojjechuun jiruu jechuudha. (DEMO)"
passport,om,Status “Rejected” jechuun maal?,"Iyyanni ulaagaa hin guunne jechuudha; sababni ni ibsama. (DEMO)"
passport,om,Status “Ready for Collection” jechuun maal?,"Paaspoortiin qophaa’e; dhuftee fudhachuuf qophiidha jechuudha. (DEMO)"
